date,population,admission,release
3/1/2020,130450.0308,2684.192902,2214.499671
3/2/2020,130612.6471,2374.949312,4412.465021
3/3/2020,129704.8248,3506.088605,4095.260414
3/4/2020,129267.7362,3646.066662,3304.840582
3/5/2020,129228.7188,3265.370791,4210.983719
3/6/2020,128938.148,3920.82638,3928.611381
3/7/2020,129213.4212,4206.026217,1763.151616
3/8/2020,129960.1542,2509.859662,2061.830476
3/9/2020,130105.8117,2217.796385,4372.479022
3/10/2020,129319.8714,3689.122657,3869.091251
3/11/2020,129056.2229,3604.09024,4284.202563
3/12/2020,128425.758,3655.668647,3738.728103
3/13/2020,128151.2394,3466.80953,3813.741392
3/14/2020,127766.6451,3428.647103,1792.258974
3/15/2020,128774.2428,2296.201773,2090.365328
3/16/2020,128654.6042,1970.726777,5036.575473
3/17/2020,125981.5381,2365.924241,4641.855545
3/18/2020,123501.9068,2162.224241,4114.248084
3/19/2020,121270.8379,1885.125947,3974.147244
3/20/2020,118996.9357,1700.244995,3632.132092
3/21/2020,116915.2001,1550.39651,1272.470981
3/22/2020,116807.2817,1163.65257,1226.914832
3/23/2020,116505.7323,924.8654046,3485.021481
3/24/2020,114319.501,1301.723359,3349.90271
3/25/2020,112373.1836,1408.251931,2857.301062
3/26/2020,110703.7663,1188.383799,2541.008999
3/27/2020,109457.1697,1296.326656,2469.256618
3/28/2020,108210.2397,1223.243322,882.9722742
3/29/2020,108425.1128,1101.534232,987.7035873
3/30/2020,108384.9525,947.8766558,2307.648032
3/31/2020,107222.1923,1143.306068,2249.206003
4/1/2020,106151.6618,1180.868745,2510.135351
4/2/2020,104863.8535,1224.827079,2222.075827
4/3/2020,103950.5789,1190.314182,2089.880138
4/4/2020,102945.9105,1087.796505,917.5760973
4/5/2020,102933.4642,905.1298383,870.7094307
4/6/2020,102901.2513,838.4965049,2023.313597
4/7/2020,101970.6217,1095.121505,1933.107158
4/8/2020,101205.636,1158.219564,1850.53236
4/9/2020,100543.7026,1175.489202,2079.563423
4/10/2020,99699.87674,1417.237557,1470.53791
4/11/2020,99581.22291,1353.61741,713.9060433
4/12/2020,99929.07896,1059.762095,746.9219524
4/13/2020,100088.7797,906.480425,2047.549539
4/14/2020,99158.74639,1115.732125,1823.515448
4/15/2020,98521.6873,1184.981367,1750.220521
4/16/2020,97946.7496,1174.86615,1793.150435
4/17/2020,97384.82974,1232.063906,1720.067102
4/18/2020,96983.40988,1317.105573,807.3434909
4/19/2020,97275.97335,1098.156962,838.5934909
4/20/2020,97385.12015,943.5736286,1787.282197
